# Couche française pour verbs.txt. L'allemand n'est jamais traduit : les
# formes, la rection et l'exemple restent tels quels — c'est ce qu'on apprend.
#
# =radical|sens
# verbe|sens|à l'usage|traduction de l'exemple

=nehmen|prendre
treten|marcher, mettre le pied ; donner un coup de pied|avec « hat » quand on donne un coup de pied, avec « ist » quand on met le pied quelque part|Il m'a marché sur le pied.
auftreten|se produire (sur scène) ; survenir (un problème)|« Fehler treten auf » — bugs en allemand|Le groupe joue ce soir.
eintreten|entrer ; adhérer (à une organisation) ; survenir, se produire|« bitte eintreten » = entrez, sur une porte|Ce genre de cas ne s'était encore jamais produit.
austreten|quitter (une organisation) ; sortir un instant|« aus der Kirche austreten » — un vrai événement de la vie en Allemagne|Il a quitté le parti.
betreten|entrer, mettre le pied sur|panneaux : « Betreten verboten » = entrée interdite|L'accès au chantier est interdit.
vertreten|représenter, remplacer ; défendre (une opinion)|« ich vertrete dich morgen » = je te remplace demain|Qui te remplace en ton absence ?
zurücktreten|démissionner ; reculer|le verbe des gros titres politiques|Le ministre a démissionné.
übertreten|enfreindre (la loi)|registre juridique ; la forme séparable « übertreten » signifie passer de l'autre côté|Il a enfreint la loi.
antreten|prendre ses fonctions, se mettre en route ; s'aligner (au départ)|« eine Stelle antreten » = prendre un poste|Elle prend son nouveau poste en mai.
beitreten|adhérer, rejoindre (+D)|adhésion officielle : syndicats, contrats, clubs|Il a adhéré au club.

=finden|trouver
finden|trouver ; penser, estimer|« ich finde das gut » = je trouve ça bien — comme ça que les Allemands donnent leur avis|Comment as-tu trouvé le film ?
stattfinden|avoir lieu, se dérouler|le verbe des affiches : « findet nicht statt » = annulé|Le concert aura lieu demain.
erfinden|inventer ; inventer, mentir|« das hast du erfunden! » = tu as inventé ça !|Qui a inventé le téléphone ?
befinden|se trouver (sich befinden) ; juger, estimer|« sich befinden » = se trouver, le « être » officiel des panneaux et annonces|La sortie est à gauche.
empfinden|ressentir, éprouver|plus profond que « fühlen » : « als unangenehm empfinden » = ressentir comme désagréable|J'éprouve un grand respect.
herausfinden|découvrir, trouver la réponse|« das finde ich raus » — mot courant pour « je vais me renseigner »|J'ai découvert pourquoi.
abfinden|se résigner (sich abfinden mit) ; verser une indemnité|« damit muss ich mich abfinden » = il va falloir que je m'y résigne|Il s'y est résigné.
vorfinden|trouver, découvrir en arrivant|un peu formel, rapports et inspections|On a trouvé la maison vide.

=brechen|casser
brechen|casser ; rompre (une promesse), battre (un record)|« ein Versprechen brechen » = rompre une promesse ; « sich den Arm brechen » = se casser le bras|Il s'est cassé la jambe.
unterbrechen|interrompre|« darf ich kurz unterbrechen? » — étiquette des réunions|Excusez-moi de vous interrompre.
abbrechen|interrompre, annuler ; casser (un morceau)|informatique : « den Vorgang abbrechen » = annuler l'opération|On a dû interrompre le voyage.
ausbrechen|éclater (guerre, incendie) ; s'évader (de prison)|« in Tränen ausbrechen » = fondre en larmes|Un incendie s'est déclaré.
einbrechen|s'introduire par effraction ; s'effondrer (marché)|« bei uns wurde eingebrochen » — phrase de procès-verbal de police|Des cambrioleurs sont entrés chez nous.
zerbrechen|se briser en morceaux|aussi au figuré : « an etwas zerbrechen » = se briser à cause de quelque chose|Le verre s'est cassé.
aufbrechen|forcer (une serrure) ; se mettre en route|« wir brechen früh auf » = on part tôt|On part tôt demain.
durchbrechen|percer, surmonter (une barrière, un schéma)|« den Teufelskreis durchbrechen » = briser le cercle vicieux|Elle a franchi le mur du son.
zusammenbrechen|s'effondrer (personne, système)|« ich bin zusammengebrochen » — aussi bien pour les serveurs que pour les gens|Le réseau s'est effondré.

=schlagen|frapper
schlagen|frapper, battre ; vaincre ; battre (la crème)|« Sahne schlagen » = battre la crème ; « eine Mannschaft schlagen » = battre une équipe|Son cœur bat vite.
vorschlagen|proposer|« ich schlage vor, dass… » — le cheval de trait des réunions|Qu'est-ce que tu proposes ?
erschlagen|assommer, tuer d'un coup ; abasourdir|« erschlagen sein » = être épuisé ou submergé|Je suis submergé d'informations.
zuschlagen|claquer, se refermer ; frapper ; saisir l'occasion|« da musst du zuschlagen! » = il faut sauter sur l'occasion !|La porte a claqué.
einschlagen|briser ; frapper (foudre) ; prendre (une direction) ; avoir du succès|« gut einschlagen » = bien marcher|La foudre a frappé.
aufschlagen|ouvrir (un livre) ; monter (une tente) ; augmenter (prix)|« schlagt Seite 20 auf » — allemand de salle de classe|Ouvrez vos livres, s'il vous plaît.
nachschlagen|consulter (un dictionnaire)|le verbe du dictionnaire — ce qu'on fait plutôt que de deviner|Cherche le mot dans le dictionnaire.
umschlagen|tourner (une page) ; changer brusquement (temps, humeur)|« die Stimmung schlug um » = l'ambiance a changé du tout au tout|Le temps change.
ausschlagen|décliner (une offre) ; ruer (cheval)|« ein Angebot ausschlagen » — refus officiel|Il a décliné l'offre.
anschlagen|afficher (une annonce) ; faire effet (médicament) ; frapper (une note)|« das Medikament schlägt an » = le médicament fait effet|Le traitement fait effet.

=laden|charger
laden|charger ; recharger ; télécharger ; citer (à comparaître)|un seul verbe pour la batterie et pour le camion|La batterie est encore en charge.
einladen|inviter ; charger à l'intérieur|« ich lade dich ein » = à la fois « je t'invite » et « c'est moi qui offre »|Je t'invite à dîner.
aufladen|recharger (une batterie) ; charger ; se charger d'un fardeau|à propos du téléphone : « das Handy aufladen » = recharger le téléphone|Je dois recharger mon téléphone.
abladen|décharger ; déverser ses soucis sur quelqu'un|« seinen Frust bei jemandem abladen » = déverser sa frustration sur quelqu'un|On décharge les cartons.
entladen|décharger ; se décharger (tension)|physique et entrepôts : « die Spannung entlud sich » = la tension s'est relâchée|La batterie est déchargée.
herunterladen|télécharger|mot officiel ; en pratique on dit « downloaden »|Télécharge le fichier.
hochladen|téléverser|même histoire — on dit d'habitude « uploaden »|J'ai téléversé les photos.
beladen|charger (un véhicule)|« schwer beladen » = lourdement chargé|Le camion est chargé au maximum.
vorladen|citer à comparaître|uniquement registre juridique|Le témoin a été cité à comparaître.

=bringen|apporter
bringen|apporter, amener ; diffuser (à la télé) ; donner (un résultat)|« das bringt nichts » = ça ne sert à rien — utilisé à toutes les sauces|Apporte-moi un verre d'eau, s'il te plaît.
verbringen|passer (du temps)|seulement pour le temps ; pour l'argent, « ausgeben »|On passe l'été au bord de la mer.
mitbringen|apporter avec soi|« was soll ich mitbringen? » — la question avant toute fête|J'apporterai un gâteau.
umbringen|tuer|hyperbole courante : « der bringt mich noch um » = il va finir par me tuer|Il a failli mourir de rire.
anbringen|fixer, accrocher ; formuler (une remarque)|« ein Schild anbringen » = accrocher un panneau ; « eine Kritik anbringen » = formuler une critique|On accroche une étagère.
aufbringen|trouver (de l'argent, du courage) ; mettre en colère|« die Geduld aufbringen » = trouver la patience|Je n'arrive pas à trouver cet argent.
beibringen|enseigner quelque chose à quelqu'un ; annoncer une mauvaise nouvelle avec ménagement|« wie bringe ich ihm das bei? » = comment le lui annoncer ?|Il m'a appris à jouer aux échecs.
unterbringen|loger, héberger ; caser quelque part|« kannst du mich unterbringen? » = tu peux m'héberger ?|On loge les invités à l'hôtel.
vorbringen|présenter, formuler (un argument, une plainte)|registre officiel, tribunaux et commissions|Il a présenté ses objections.
hervorbringen|engendrer, produire (un son, une génération)|littéraire et académique|La ville a donné naissance à de grands artistes.

=denken|penser
denken|penser (an +A à quelqu'un)|« ich denke an dich » = je pense à toi ; pour une opinion on dit « ich finde… »|Je pense souvent à toi.
nachdenken|réfléchir (über +A)|« lass mich kurz nachdenken » = laisse-moi réfléchir|Il faut que j'y réfléchisse.
bedenken|prendre en compte, considérer|« bedenke, dass… » — avec une nuance de mise en garde|Pense aux conséquences.
überdenken|reconsidérer, repenser|« das sollten wir überdenken » — objection diplomatique|Je vais reconsidérer ma position.
ausdenken|imaginer, inventer (sich ausdenken)|« denk dir was aus! » = invente quelque chose !|J'ai inventé une histoire.
umdenken|changer d'approche, penser autrement|discours sur le climat et le business : « wir müssen umdenken » = il faut changer de logique|Il faut tout repenser.
gedenken|honorer la mémoire de (+G) ; avoir l'intention de|registre des commémorations|Nous honorons la mémoire des victimes.
mitdenken|réfléchir en même temps, faire preuve d'initiative|« denk mal mit! » = utilise un peu ta tête !|Utilise ta tête, s'il te plaît.

=sehen|voir
sehen|voir ; regarder|« mal sehen » = on verra bien — l'excuse nationale|Je ne vois rien.
aussehen|avoir l'air, paraître|« du siehst müde aus » — pour l'apparence, pas pour la vue|Ça a l'air excellent !
ansehen|regarder quelque chose ; considérer comme|« sich etwas ansehen » = regarder, jeter un œil|Je regarde un film.
einsehen|admettre, comprendre (qu'on a tort) ; consulter (des documents)|« das sehe ich ein » = c'est vrai, je le reconnais|J'admets que j'avais tort.
übersehen|ne pas remarquer, laisser échapper ; avoir une vue d'ensemble sur|« das habe ich übersehen » = ça m'a échappé|Je n'ai pas remarqué l'erreur.
versehen|munir, équiper ; se tromper (sich versehen)|d'où « aus Versehen » = par mégarde|Le texte est muni de notes de bas de page.
vorsehen|prévoir ; se méfier (sich vorsehen)|« vorgesehen » = prévu, dans n'importe quel plan de projet|La réunion n'est pas prévue.
absehen|prévoir ; renoncer à (von etwas absehen)|« es ist nicht abzusehen » = impossible à prévoir|Les conséquences sont impossibles à prévoir.
nachsehen|vérifier, aller voir ; fermer les yeux sur|« ich sehe kurz nach » = je vais vérifier|Regarde dans l'agenda, s'il te plaît.
zusehen|regarder sans intervenir ; veiller à ce que (dass)|« sieh zu, dass du fertig wirst » = veille à finir à temps|Je n'ai fait que regarder.
fernsehen|regarder la télévision|les Allemands disent ça, pas « TV schauen »|Le soir, on regarde la télévision.

=fangen|attraper
fangen|attraper ; piéger|« sich wieder fangen » = se ressaisir|Le gardien attrape le ballon.
anfangen|commencer|« fang schon mal an » — familier pour « commence donc »|Le film commence quand ?
empfangen|accueillir (des invités) ; recevoir (un signal)|réceptions et ondes radio|On n'a pas de signal.
auffangen|rattraper (au vol) ; amortir, compenser|« die Kosten auffangen » = prendre les frais en charge|Elle a rattrapé l'enfant.
einfangen|capturer (un animal, une ambiance)|« die Stimmung einfangen » — langage des photographes|La photo capture bien l'ambiance.
abfangen|intercepter ; amortir|« eine E-Mail abfangen » = intercepter un e-mail ; « einen Sturz abfangen » = amortir une chute|L'attaque a été interceptée.
verfangen|s'emmêler (sich verfangen) ; porter, faire effet|« das Argument verfängt nicht » = l'argument ne prend pas|Il s'est empêtré dans ses contradictions.

=greifen|saisir
greifen|saisir, tendre la main (nach +A) ; agir, porter ses fruits|« die Maßnahmen greifen » = les mesures portent leurs fruits|Il tend la main vers le livre.
angreifen|attaquer ; critiquer ; épuiser|« scharf angreifen » — politique et sport|Les troupes attaquent.
begreifen|saisir, comprendre en profondeur|plus profond que « verstehen » : « ich begreife das nicht »|Je n'arrive pas à comprendre pourquoi.
eingreifen|intervenir|« die Polizei musste eingreifen » = la police a dû intervenir|Il va falloir qu'on intervienne.
zugreifen|saisir, prendre ; accéder (à des données)|à table : « greif zu! » = sers-toi !|Sers-toi, il y en a plein !
aufgreifen|reprendre (une idée, un sujet) ; interpeller|« den Vorschlag aufgreifen » — langage des réunions|Je vais reprendre votre idée.
vergreifen|se tromper de (sich vergreifen) ; lever la main sur quelqu'un|« sich im Ton vergreifen » = prendre un ton déplacé|Il a pris un ton déplacé.
durchgreifen|prendre des mesures fermes|« hart durchgreifen » — rhétorique sécuritaire|L'État doit sévir.

=legen|poser
legen|poser ; s'allonger (sich legen) ; se calmer|« der Sturm legt sich » = la tempête se calme|Pose le livre sur la table.
anlegen|investir (de l'argent) ; mettre, enfiler ; accoster ; créer (un fichier)|« Geld anlegen » = investir de l'argent ; « einen Ordner anlegen » = créer un dossier|Elle investit dans des actions.
auflegen|raccrocher ; passer (un disque) ; publier (un tirage)|« aufgelegt » signifie aussi être d'humeur : « gut aufgelegt » = de bonne humeur|Elle a simplement raccroché.
überlegen|réfléchir, considérer|« lass mich überlegen » = laisse-moi réfléchir — avec « sich » quand on pèse le pour et le contre|J'y réfléchirai.
verlegen|égarer, perdre ; reporter (une date) ; publier|trois sens sans rapport ; aussi l'adjectif « verlegen » = gêné|J'ai égaré mes lunettes.
belegen|occuper (une place) ; prouver par des documents ; s'inscrire (à un cours)|« belegt » = occupé au téléphone, et « garni » pour un sandwich|Tu peux le prouver ?
ablegen|enlever (un manteau) ; classer (un dossier) ; passer (un examen)|« eine Prüfung ablegen » — vocabulaire d'examen officiel|Déposez vos manteaux, s'il vous plaît.
vorlegen|présenter, soumettre (un document)|« Unterlagen vorlegen » — bureaucratie|Il a soumis le rapport.
festlegen|établir, définir ; s'engager (sich festlegen)|« ich will mich nicht festlegen » = je ne veux pas m'engager|La date est fixée.
hinlegen|poser ; s'allonger un instant (sich hinlegen)|« ich lege mich kurz hin » = je vais m'allonger un instant|Je vais m'allonger une heure.
darlegen|exposer, expliquer en détail|uniquement registre écrit formel|Il a exposé ses arguments.
zerlegen|démonter, décomposer ; débiter (viande)|« in Einzelteile zerlegen » = démonter en pièces détachées|Il démonte le moteur.

=laufen|courir, marcher
laufen|courir ; marcher ; fonctionner (mécanisme, contrat)|« wie läuft's? » = comment ça va ?|Le contrat court encore un an.
ablaufen|expirer (délai) ; s'écouler ; se dérouler (événement)|« wie ist es abgelaufen? » = comment ça s'est passé ?|Mon passeport a expiré.
verlaufen|se dérouler ; se perdre (sich verlaufen)|« alles ist gut verlaufen » = tout s'est bien passé|On s'est perdus dans la forêt.
auflaufen|s'échouer ; s'accumuler (frais, intérêts)|« aufgelaufene Zinsen » — vocabulaire bancaire|Des frais se sont accumulés.
zulaufen|courir vers ; venir se réfugier (animal)|« die Katze ist uns zugelaufen » = le chat est venu tout seul chez nous|Le chien s'est attaché à notre maison.
weglaufen|s'enfuir|« lauf nicht weg! » — pour les enfants, les chiens et les problèmes|Il s'est enfui de chez lui.
überlaufen|déborder ; passer à l'ennemi|« überlaufen » comme adjectif = bondé, surpeuplé|Impossible de circuler ici en été.
durchlaufen|traverser (un processus)|ressources humaines et informatique : « eine Ausbildung durchlaufen » = suivre une formation|Les données passent par plusieurs contrôles.
einlaufen|entrer au port (bateau, train) ; rétrécir (au lavage)|« der Pulli ist eingelaufen » — catastrophe de lessive|Le pull a rétréci.
mitlaufen|courir à côté ; tourner en arrière-plan|« läuft so nebenbei mit » = ça tourne en tâche de fond|Le script tourne en arrière-plan.
hinauslaufen|revenir à, se résumer à (auf +A)|« das läuft auf dasselbe hinaus » = ça revient au même|L'affaire se résume à un compromis.

=schreiben|écrire
schreiben|écrire ; s'orthographier|« wie schreibt man das? » = comment ça s'écrit ?|Elle écrit un roman.
beschreiben|décrire|« schwer zu beschreiben » — mot du quotidien|Tu peux le décrire ?
verschreiben|prescrire (un médicament) ; faire une erreur en écrivant (sich verschreiben)|« der Arzt hat mir etwas verschrieben » = le médecin m'a prescrit quelque chose|Le médecin prescrit un antibiotique.
unterschreiben|signer|« hier unterschreiben, bitte » — formulaires et contrats|Signez ici, s'il vous plaît.
aufschreiben|noter|« schreib's dir auf! » = note ça !|Je vais noter le numéro.
abschreiben|copier ; passer en pertes|« von jemandem abschreiben » — copiage à l'école|Il a copié sur moi.
anschreiben|écrire à quelqu'un ; mettre sur le compte de quelqu'un|« anschreiben lassen » = faire mettre sur son ardoise|On a écrit à l'entreprise.
ausschreiben|publier (un concours, un poste) ; écrire en toutes lettres|« eine Stelle ausschreiben » — recrutement|Le poste sera bientôt publié.
einschreiben|s'inscrire (sich einschreiben) ; envoyer en recommandé|« sich an der Uni einschreiben » = s'inscrire à l'université|Je me suis inscrit au cours.
zuschreiben|attribuer (à quelqu'un)|« dem Zufall zuschreiben » = attribuer au hasard|Le succès lui est attribué.
umschreiben|décrire de façon détournée, reformuler|la forme séparable « umschreiben » signifie récrire entièrement|Il a décrit le problème avec précaution.
vorschreiben|prescrire, imposer à quelqu'un|« lass dir nichts vorschreiben » = ne te laisse pas dicter ta conduite|C'est ce que prescrit la loi.

=lesen|lire
lesen|lire ; vendanger|« ich lese gerade… » — sujet de conversation classique|Il lit tous les soirs.
vorlesen|faire la lecture à voix haute|le verbe de l'histoire du soir|Je fais la lecture aux enfants.
durchlesen|lire en entier, relire|« lies es dir noch mal durch » = relis-le encore une fois|Lis tout le contrat.
auslesen|finir de lire ; sélectionner|informatique : « Daten auslesen » = extraire des données|L'appareil relève les mesures.
ablesen|relever (un compteur) ; lire (sur un papier)|« vom Blatt ablesen » = lire sur ses notes|Les compteurs sont relevés une fois par an.
verlesen|faire la lecture officielle (d'une liste) ; mal lire (sich verlesen)|« ich habe mich verlesen » = j'ai mal lu|On a fait l'appel des noms.
nachlesen|se référer à, relire dans une source|« das kannst du nachlesen » = tu peux te référer à ça|Les détails sont dans la notice.
zusammenlesen|glaner des informations un peu partout|avec une nuance de mépris : ramassé n'importe où|Il a lu ça sur internet.

=machen|faire
machen|faire|verbe passe-partout : « das macht nichts » = ça ne fait rien|Qu'est-ce que tu fais en ce moment ?
aufmachen|ouvrir ; ouvrir (un commerce)|le double familier d'« öffnen » : « mach mal auf! » = ouvre donc !|Ouvre la fenêtre, s'il te plaît.
zumachen|fermer|le double familier de « schließen »|Le bar ferme à deux heures.
ausmachen|éteindre ; convenir de ; avoir de l'importance|« macht es dir was aus? » = ça te dérange ?|Éteins la lumière, s'il te plaît.
anmachen|allumer ; assaisonner (une salade) ; draguer ou provoquer quelqu'un|« jemanden anmachen » = draguer, ou au contraire chercher les ennuis|Allume la radio.
mitmachen|participer, se joindre|pendant familier de « teilnehmen »|Tu participes au tournoi ?
weitermachen|continuer|« mach weiter so! » = continue comme ça !|On continue après la pause.
nachmachen|copier, imiter|« er macht alles nach » — à propos des enfants et des concurrents|Elle imite sa voix.
abmachen|convenir de ; détacher, enlever|« abgemacht! » = c'est convenu !|On n'avait convenu de rien.
kaputtmachen|casser, abîmer|familier : « mach es nicht kaputt! » = ne le casse pas !|Tu gâches tout le jeu.
klarmachen|expliquer clairement ; préparer|« mach dir klar, dass… » = comprends bien que…|Il m'a expliqué de quoi il s'agissait.
saubermachen|nettoyer, faire le ménage|substitut familier de « putzen »|Le samedi, on fait le ménage.

=suchen|chercher
suchen|chercher|« gesucht » = recherché sur une affiche, et « recherché(e) » dans une offre d'emploi|Je cherche ma clé.
besuchen|rendre visite, visiter ; fréquenter (une école, un cours)|d'où « Besuch » — en Allemagne, une visite est un vrai événement|On lui rendra visite ce week-end.
untersuchen|examiner, enquêter sur|médecins et police disent tous deux « untersuchen »|Le médecin examine le patient.
versuchen|essayer, tenter ; tenter, séduire|« versuch's mal! » = essaie donc !|J'essaierai encore une fois plus tard.
aussuchen|choisir, sélectionner|« such dir was aus » = choisis quelque chose|Elle a choisi une robe.
absuchen|fouiller, ratisser|« den Boden absuchen » = fouiller le terrain|On a fouillé la forêt.
aufsuchen|se rendre chez, consulter (un médecin, un lieu)|registre soutenu : « einen Arzt aufsuchen » = consulter un médecin|Consultez un spécialiste.
durchsuchen|fouiller, perquisitionner|registre policier : « die Wohnung durchsuchen » = perquisitionner l'appartement|La police a perquisitionné la maison.
heraussuchen|dénicher, sélectionner parmi d'autres|« ich suche dir die Unterlagen raus » = je vais te trouver les documents|Je vais chercher les photos.

=holen|aller chercher
holen|aller chercher ; attraper (un rhume)|« ich hol mir was zu trinken » — extrêmement courant à l'oral|Va me chercher un verre, s'il te plaît.
abholen|aller chercher, récupérer (une personne, un colis)|« ich hole dich um acht ab » — le verbe des rendez-vous|Je viendrai te chercher à la gare.
einholen|rattraper ; obtenir (une autorisation, des informations)|« Erlaubnis einholen » — langage administratif|Il nous faut obtenir une autorisation.
wiederholen|répéter|non séparable, accent sur « hol » : « können Sie das wiederholen? »|Répétez, s'il vous plaît.
nachholen|rattraper|« Schlaf nachholen » = rattraper son sommeil|Je repasserai l'examen l'année prochaine.
aufholen|rattraper (un retard)|sport et graphiques : « Zeit aufholen » = rattraper le temps perdu|On a rattrapé deux points.
herausholen|tirer le meilleur de, extraire|« das Beste herausholen » = tirer le meilleur parti|Il tire beaucoup de son équipe.
überholen|dépasser, doubler ; réviser complètement|« überholt » comme adjectif = dépassé, obsolète|La voiture nous a doublés.
zurückholen|ramener, récupérer|« jemanden zurückholen » — pour des personnes comme pour des fichiers|On ramène la production ici.

=rufen|appeler
rufen|appeler, crier|« um Hilfe rufen » — mais pas au téléphone, là c'est « anrufen »|Elle a crié à l'aide.
anrufen|appeler (au téléphone)|le verbe du téléphone : « ruf mich an! » = appelle-moi !|Je t'appellerai plus tard.
ausrufen|proclamer, déclarer ; crier|« den Notstand ausrufen » — vocabulaire des infos|La grève a été déclarée.
aufrufen|appeler (par le nom) ; ouvrir (une page) ; appeler à|informatique : « eine Seite aufrufen » = ouvrir une page|On appelle le patient suivant.
zurückrufen|rappeler ; retirer (un produit)|« ich rufe zurück » — étiquette téléphonique|Rappelez-moi, s'il vous plaît.
hervorrufen|provoquer (une réaction)|« Nebenwirkungen hervorrufen » — médecine et style officiel|Le discours a provoqué des critiques.
berufen|nommer ; se référer (sich berufen auf)|« sich auf jemanden berufen » = citer quelqu'un comme autorité|Il a été nommé à l'université.
einberufen|convoquer (une réunion) ; appeler (sous les drapeaux)|registre officiel|Le conseil a été convoqué.
abberufen|rappeler (d'un poste)|diplomatie et entreprises|L'ambassadeur a été rappelé.

=schneiden|couper
schneiden|couper ; monter (un film) ; ignorer volontairement quelqu'un|« jemanden schneiden » = ignorer quelqu'un délibérément|Je coupe le pain.
abschneiden|couper ; obtenir un résultat (bon ou mauvais)|« gut abschneiden » = bien s'en tirer|Elle a bien réussi.
ausschneiden|découper|informatique : « ausschneiden und einfügen » = couper-coller|Je découpe l'article.
zerschneiden|découper en morceaux, déchiqueter|destruction marquée|Il a déchiré la lettre.
aufschneiden|inciser, ouvrir ; se vanter|« aufschneiden » signifie aussi se vanter, exagérer|Le médecin ouvre la plaie.
einschneiden|entailler ; s'enfoncer dans (ceinture)|« einschneidend » = radical, profond|La ceinture s'enfonce dans la peau.
anschneiden|entamer (un pain, un gâteau) ; aborder (un sujet)|« ein Thema anschneiden » = aborder un sujet|Il a abordé un sujet délicat.
durchschneiden|couper en deux, sectionner|« das Band durchschneiden » — coupe de ruban officielle|Elle a coupé la corde.
zuschneiden|découper sur mesure|« auf jemanden zugeschnitten » = fait sur mesure pour quelqu'un|L'offre est conçue pour les entreprises.

=springen|sauter
springen|sauter ; se fissurer (verre)|« der Funke springt über » = l'étincelle jaillit|Il saute à l'eau.
abspringen|sauter en bas ; se désister, se rétracter|« der Kunde ist abgesprungen » = le client s'est désisté|Deux sponsors se sont désistés.
einspringen|remplacer quelqu'un au pied levé|« kannst du einspringen? » = tu peux me remplacer ?|Je le remplace au pied levé.
überspringen|sauter, passer ; franchir d'un bond|« ein Kapitel überspringen » = sauter un chapitre|On va sauter ce chapitre.
aufspringen|se lever d'un bond ; s'ouvrir brusquement ; sauter dans une tendance|« auf den Zug aufspringen » = sauter dans le train en marche|Il s'est levé d'un bond de sa chaise.
zurückspringen|reculer d'un bond ; revenir à sa valeur initiale|« die Anzeige springt zurück » = l'affichage revient à zéro|La valeur revient à zéro.
herausspringen|en tirer profit, en résulter (familier)|« was springt für mich dabei heraus? » = qu'est-ce que j'y gagne ?|Tu n'en tireras pas grand-chose.
umspringen|changer brusquement (temps, feu de signalisation) ; traiter quelqu'un d'une certaine façon|« so kannst du nicht mit mir umspringen » = tu ne peux pas me traiter comme ça|Le feu passe au vert.

=steigen|monter
steigen|monter, grimper ; augmenter (prix)|« die Preise steigen » — verbe des gros titres économiques|La température augmente.
einsteigen|monter (dans un véhicule) ; entrer dans un domaine|« einsteigen, bitte! » — annonce sur le quai|Montez par la porte avant.
aussteigen|descendre (d'un véhicule) ; tout plaquer|« aussteigen » = quitter la course effrénée|Je descends au prochain arrêt.
umsteigen|changer (de train, de bus) ; passer à autre chose|« auf Öko umsteigen » = passer à l'écologique|Il faut qu'on change à Hanovre.
aufsteigen|monter ; obtenir une promotion|ligues sportives et carrière professionnelle|Le club est monté en division supérieure.
absteigen|descendre ; être relégué (ligue) ; loger (à l'hôtel)|« im Hotel absteigen » = descendre à l'hôtel — un peu désuet|Le club a été relégué.
besteigen|gravir (une montagne) ; monter à bord|registre soutenu, alpinisme|Ils ont atteint le sommet.
übersteigen|dépasser|« die Kosten übersteigen das Budget » = les frais dépassent le budget|Ça dépasse mon imagination.
zusteigen|monter en cours de route|« noch jemand zugestiegen? » — question du contrôleur|Quelqu'un d'autre est monté ?

=stoßen|pousser, heurter
stoßen|pousser ; tomber sur (auf +A)|« auf ein Problem stoßen » = tomber sur un problème|Je suis tombé sur une erreur.
anstoßen|donner un coup de coude ; trinquer ; donner une impulsion|« anstoßen! » = trinquons !|À ta santé.
abstoßen|repousser ; se débarrasser de|« das stößt mich ab » = ça me répugne|Son comportement me répugne.
ausstoßen|rejeter (des émissions) ; expulser|« CO2 ausstoßen » — vocabulaire climatique|L'usine rejette des substances nocives.
zusammenstoßen|entrer en collision|« die Autos sind zusammengestoßen » = les voitures se sont percutées|Les trains sont entrés en collision.
verstoßen|enfreindre (gegen +A) ; rejeter|juridique : « gegen die Regeln verstoßen » = enfreindre les règles|Ça enfreint la loi.
umstoßen|renverser ; bouleverser (des plans)|« alle Pläne umstoßen » = bouleverser tous les plans|Il a renversé le verre.
vorstoßen|avancer, s'aventurer|« in neue Bereiche vorstoßen » = s'aventurer sur de nouveaux territoires|L'équipe s'est qualifiée pour la finale.

=stecken|glisser, être coincé
stecken|glisser, mettre ; être coincé, être planté|« da steckt mehr dahinter » = il y a autre chose derrière ça|La clé est dans la serrure.
anstecken|contaminer ; épingler ; mettre le feu à|« das steckt an » = c'est contagieux, y compris pour le rire|Il m'a contaminé.
einstecken|mettre dans sa poche ; brancher ; encaisser (une critique)|« einstecken können » = savoir encaisser les coups|Branche le chargeur.
abstecken|délimiter, borner|« den Rahmen abstecken » — réunions de planification|On délimite les objectifs.
verstecken|cacher|« Versteck spielen » = jouer à cache-cache|Il se cache derrière des excuses.
zustecken|glisser discrètement (de l'argent) à quelqu'un|« er hat mir zwanzig Euro zugesteckt » = il m'a glissé vingt euros|Grand-mère glisse de l'argent aux enfants.
wegstecken|ranger ; encaisser sans broncher (un échec)|« das steckt er locker weg » = il encaisse ça sans problème|Il a encaissé la défaite sans broncher.

=treffen|rencontrer, toucher
treffen|rencontrer ; toucher (une cible) ; prendre (une décision)|« eine Entscheidung treffen » = prendre une décision ; « wir treffen uns um acht » = on se retrouve à huit heures|On se retrouve demain.
antreffen|trouver quelqu'un (chez lui)|« ich habe ihn nicht angetroffen » — langage des visites officielles|On l'a trouvé chez lui.
eintreffen|arriver ; se réaliser (une prévision)|registre soutenu pour « arriver » : « die Ware ist eingetroffen » = la marchandise est arrivée|Les invités arrivent à sept heures.
zutreffen|être vrai, s'appliquer à quelqu'un|formulaires : « Zutreffendes bitte ankreuzen » = cocher la mention utile|Ça ne s'applique pas à moi.
betreffen|concerner, toucher|« was das betrifft… » = en ce qui concerne cela…|Le changement concerne tous les clients.
übertreffen|surpasser, dépasser|« alle Erwartungen übertreffen » = dépasser toutes les attentes|Le résultat dépasse tout.
aufeinandertreffen|s'affronter (adversaires)|comptes rendus sportifs|Les équipes s'affrontent en finale.

=trennen|séparer
trennen|séparer ; se séparer (sich trennen)|« wir haben uns getrennt » = on s'est séparés|On trie les déchets.
auftrennen|découdre|vocabulaire de couture|Je découds la couture.
abtrennen|détacher, découper, cloisonner|« den Abschnitt abtrennen » — sur des formulaires|Détachez le talon, s'il vous plaît.
zertrennen|découdre entièrement, démonter|rare, registre artisanal|Elle a découpé la vieille robe.

=wachsen|pousser, grandir
wachsen|grandir, pousser|« einer Aufgabe gewachsen sein » = être à la hauteur d'une tâche|La ville grandit vite.
