# Русский слой к verbs.txt. Немецкое не переводится: формы, управление и
# пример остаются как есть — их и учат.
#
# =корень|значение
# глагол|значение|как говорят|перевод примера

=nehmen|брать
einbrechen|вламываться, совершать кражу; обваливаться (о рынке)|«bei uns wurde eingebrochen» — фраза из полицейского протокола|Воры влезли в дом.
zerbrechen|разбиваться вдребезги|и в переносном смысле: «an etwas zerbrechen» = сломаться из-за чего-то|Стакан разбился.
aufbrechen|взламывать; отправляться в путь|«wir brechen früh auf» = мы выезжаем рано|Мы выезжаем завтра рано.
durchbrechen|прорывать, преодолевать (барьер, схему)|«den Teufelskreis durchbrechen» = разорвать порочный круг|Она преодолела звуковой барьер.
zusammenbrechen|рушиться, ломаться (о человеке, системе)|«ich bin zusammengebrochen» — и про серверы, и про людей|Сеть рухнула.

=schlagen|бить
schlagen|бить, ударять; побеждать; взбивать (сливки)|«Sahne schlagen» = взбивать сливки; «eine Mannschaft schlagen» = обыграть команду|Сердце у него бьётся часто.
vorschlagen|предлагать|«ich schlage vor, dass…» — рабочая лошадка совещаний|Что ты предлагаешь?
erschlagen|забить насмерть; ошеломить|«erschlagen sein» = быть без сил или заваленным|Меня завалило информацией.
zuschlagen|захлопывать; наносить удар; урвать|«da musst du zuschlagen!» = такое надо брать|Дверь захлопнулась.
einschlagen|разбивать; ударять (о молнии); выбирать (путь); заходить на ура|«gut einschlagen» = хорошо зайти|Ударила молния.
aufschlagen|открывать (книгу); ставить (палатку); дорожать|«schlagt Seite 20 auf» — немецкий из класса|Откройте, пожалуйста, книги.
nachschlagen|смотреть (в справочнике)|глагол словаря — то, что делают вместо догадок|Посмотри слово в словаре.
umschlagen|переворачивать; резко меняться (о погоде, настроении)|«die Stimmung schlug um» = настроение переменилось|Погода меняется.
ausschlagen|отклонять (предложение); лягать (о лошади)|«ein Angebot ausschlagen» — официальный отказ|Он отклонил предложение.
anschlagen|вывешивать (объявление); действовать (о лекарстве); брать (ноту)|«das Medikament schlägt an» = лекарство действует|Лечение помогает.

=laden|грузить
laden|грузить; заряжать; загружать; вызывать (в суд)|один глагол и для аккумулятора, и для грузовика|Аккумулятор ещё заряжается.
einladen|приглашать; загружать внутрь|«ich lade dich ein» = и «приглашаю», и «я угощаю»|Приглашаю тебя на ужин.
aufladen|заряжать (аккумулятор); нагружать; взваливать|слово про телефон: «das Handy aufladen» = зарядить телефон|Мне нужно зарядить телефон.
abladen|разгружать; вываливать (проблемы на кого-л.)|«seinen Frust bei jemandem abladen» = вывалить на кого-то своё раздражение|Мы разгружаем коробки.
entladen|разряжать, разгружать; разряжаться (о напряжении)|физика и склады; «die Spannung entlud sich» = напряжение разрядилось|Аккумулятор сел.
herunterladen|скачивать|официальное слово; в жизни говорят «downloaden»|Скачай файл.
hochladen|загружать (в сеть)|та же история — обычно говорят «uploaden»|Я загрузил фотографии.
beladen|нагружать (транспорт)|«schwer beladen» = тяжело гружёный|Грузовик загружен полностью.
vorladen|вызывать в суд|только юридический регистр|Свидетеля вызвали в суд.

=bringen|приносить
bringen|приносить, отвозить; показывать (в эфире); давать (результат)|«das bringt nichts» = это бесполезно — ходовое до предела|Принеси мне, пожалуйста, стакан воды.
verbringen|проводить (время)|только про время; деньги — «ausgeben»|Лето мы проводим у моря.
mitbringen|приносить с собой|«was soll ich mitbringen?» — вопрос перед вечеринкой|Я принесу торт.
umbringen|убивать|в речи с преувеличением: «der bringt mich noch um» = он меня в могилу сведёт|Он чуть не умер со смеху.
anbringen|прикреплять, вешать; высказывать (замечание)|«ein Schild anbringen» = повесить табличку; «eine Kritik anbringen» = высказать критику|Мы вешаем полку.
aufbringen|находить (деньги, силы); выводить из себя|«die Geduld aufbringen» = набраться терпения|Я не могу найти эти деньги.
beibringen|обучать кого-л. чему-л.; осторожно сообщить|«wie bringe ich ihm das bei?» = как ему это сказать?|Он научил меня играть в шахматы.
unterbringen|размещать, селить; пристроить, впихнуть|«kannst du mich unterbringen?» = можно у тебя переночевать?|Мы селим гостей в отеле.
vorbringen|выдвигать (довод, жалобу)|официальное, суд и комиссии|Он выдвинул возражения.
hervorbringen|порождать, производить (звук, поколение)|книжное и академическое|Город дал миру больших художников.

=denken|думать
denken|думать (an +A о ком-л.)|«ich denke an dich» = я думаю о тебе, а мнение — это «ich finde…»|Я часто о тебе думаю.
nachdenken|обдумывать, размышлять (über +A)|«lass mich kurz nachdenken» = дай подумать|Мне нужно это обдумать.
bedenken|учитывать, принимать во внимание|«bedenke, dass…» — с оттенком предостережения|Подумай о последствиях.
überdenken|пересматривать, обдумывать заново|«das sollten wir überdenken» — дипломатичное возражение|Я пересмотрю свою позицию.
ausdenken|придумывать, выдумывать (sich ausdenken)|«denk dir was aus!» = придумай что-нибудь|Я выдумал историю.
umdenken|менять подход, начинать думать иначе|разговор про климат и бизнес: «wir müssen umdenken» = нам надо перестроиться|Нам нужно всё это переосмыслить.
gedenken|чтить память (+G); намереваться|регистр памятных дат|Мы чтим память погибших.
mitdenken|думать вместе, включать голову|«denk mal mit!» = да включи ты голову|Включай, пожалуйста, голову.

=sehen|видеть
sehen|видеть; смотреть|«mal sehen» = посмотрим — национальная отговорка|Я ничего не вижу.
aussehen|выглядеть|«du siehst müde aus» — про внешний вид, а не про зрение|Выглядит отлично!
ansehen|смотреть на что-л.; считать кем-л.|«sich etwas ansehen» = посмотреть, глянуть|Я смотрю фильм.
einsehen|признавать, понимать (правоту); знакомиться с (документами)|«das sehe ich ein» = справедливо, понимаю|Я признаю, что был неправ.
übersehen|не заметить, упустить; обозревать|«das habe ich übersehen» = я это упустил|Я не заметил ошибку.
versehen|снабжать, оснащать; ошибиться (sich versehen)|отсюда «aus Versehen» = по недосмотру|Текст снабжён сносками.
vorsehen|предусматривать; остерегаться (sich vorsehen)|«vorgesehen» = запланировано, в любом плане проекта|Совещание не запланировано.
absehen|предвидеть; воздержаться (von etwas absehen)|«es ist nicht abzusehen» = предсказать невозможно|Последствия предсказать невозможно.
nachsehen|проверить, посмотреть; спустить с рук|«ich sehe kurz nach» = сейчас гляну|Посмотри, пожалуйста, в календаре.
zusehen|смотреть со стороны; проследить (dass)|«sieh zu, dass du fertig wirst» = смотри, доделай|Я просто смотрел.
fernsehen|смотреть телевизор|немцы говорят так, а не «TV schauen»|Вечером мы смотрим телевизор.

=fangen|ловить
fangen|ловить; поймать в ловушку|«sich wieder fangen» = взять себя в руки|Вратарь ловит мяч.
anfangen|начинать, начинаться|«fang schon mal an» — бытовое «начинай»|Когда начинается фильм?
empfangen|принимать (гостей, сигнал); встречать|стойки регистрации и радиосигналы|У нас нет сигнала.
auffangen|подхватывать (падающее); смягчать, компенсировать|«die Kosten auffangen» = взять расходы на себя|Она подхватила ребёнка.
einfangen|поймать (животное, настроение)|«die Stimmung einfangen» — язык фотографов|Фотография поймала настроение.
abfangen|перехватывать; смягчать|«eine E-Mail abfangen» = перехватить письмо; «einen Sturz abfangen» = смягчить падение|Атаку перехватили.
verfangen|запутываться (sich verfangen); действовать, срабатывать|«das Argument verfängt nicht» = аргумент не работает|Он запутался в противоречиях.

=greifen|хватать
greifen|хватать, тянуться (nach +A); действовать, срабатывать|«die Maßnahmen greifen» = меры работают|Он тянется за книгой.
angreifen|атаковать; критиковать; изматывать|«scharf angreifen» — политика и спорт|Войска наступают.
begreifen|постигать, осознавать|глубже, чем «verstehen»: «ich begreife das nicht»|Я не могу понять почему.
eingreifen|вмешиваться|«die Polizei musste eingreifen» = полиции пришлось вмешаться|Здесь нам придётся вмешаться.
zugreifen|хватать, брать; получать доступ (к данным)|за столом: «greif zu!» = угощайся|Угощайся, всего много!
aufgreifen|подхватывать (идею, тему); задерживать|«den Vorschlag aufgreifen» — язык совещаний|Я подхвачу вашу мысль.
vergreifen|схватить не то (sich vergreifen); поднять руку на кого-л.|«sich im Ton vergreifen» = взять неверный тон|Он взял неверный тон.
durchgreifen|принимать жёсткие меры|«hart durchgreifen» — риторика правопорядка|Государство должно навести порядок.

=legen|класть
legen|класть; ложиться (sich legen); утихать|«der Sturm legt sich» = буря утихает|Положи книгу на стол.
anlegen|вкладывать (деньги); надевать; причаливать; создавать (файл)|«Geld anlegen» = вкладывать деньги; «einen Ordner anlegen» = создать папку|Она вкладывает деньги в акции.
auflegen|класть трубку; ставить (пластинку); выпускать (тираж)|«aufgelegt» ещё про настроение: «gut aufgelegt» = в духе|Она просто положила трубку.
überlegen|обдумывать, размышлять|«lass mich überlegen» = дай подумать — с «sich», когда взвешивают|Я подумаю над этим.
verlegen|задевать, терять; переносить (срок); издавать|три несвязанных значения; ещё прилагательное «verlegen» = смущённый|Я куда-то дел очки.
belegen|занимать (место); подтверждать документами; записаться (на курс)|«belegt» = занято в телефоне и «с начинкой» о бутерброде|Ты можешь это подтвердить?
ablegen|снимать (пальто); подшивать в дело; сдавать (экзамен)|«eine Prüfung ablegen» — официальная экзаменационная лексика|Раздевайтесь, пожалуйста.
vorlegen|представлять, подавать (документ)|«Unterlagen vorlegen» — бюрократия|Он представил отчёт.
festlegen|устанавливать, определять; связывать себя (sich festlegen)|«ich will mich nicht festlegen» = не хочу связывать себя обещанием|Дата установлена.
hinlegen|класть; прилечь (sich hinlegen)|«ich lege mich kurz hin» = я прилягу на минутку|Я прилягу на часок.
darlegen|излагать, подробно объяснять|только письменный официальный стиль|Он изложил свои доводы.
zerlegen|разбирать на части; разделывать|«in Einzelteile zerlegen» = разобрать на детали|Он разбирает двигатель.

=laufen|бежать, идти
laufen|бежать; идти пешком; работать (о механизме, договоре)|«wie läuft's?» = как оно?|Договор действует ещё год.
ablaufen|истекать (о сроке); стекать; проходить (о событии)|«wie ist es abgelaufen?» = как всё прошло?|У меня истёк паспорт.
verlaufen|проходить, протекать; заблудиться (sich verlaufen)|«alles ist gut verlaufen» = всё прошло хорошо|Мы заблудились в лесу.
auflaufen|садиться на мель; накапливаться (о расходах, процентах)|«aufgelaufene Zinsen» — банковское|Набежали сборы.
zulaufen|бежать навстречу; прибиться (о животном)|«die Katze ist uns zugelaufen» = кошка сама к нам прибилась|Собака прибилась к нашему дому.
weglaufen|убегать|«lauf nicht weg!» — про детей, собак и проблемы|Он сбежал из дома.
überlaufen|наводнять; переходить на сторону противника|«überlaufen» как прилагательное = переполненный|Летом здесь не протолкнуться.
durchlaufen|проходить (через процесс)|кадры и IT: «eine Ausbildung durchlaufen» = пройти обучение|Данные проходят несколько проверок.
einlaufen|прибывать (о судне, поезде); садиться (о вещи)|«der Pulli ist eingelaufen» — прачечная катастрофа|Свитер сел.
mitlaufen|бежать рядом; идти прицепом, работать фоном|«läuft so nebenbei mit» = крутится себе в фоне|Скрипт работает в фоне.
hinauslaufen|сводиться к чему-л. (auf +A)|«das läuft auf dasselbe hinaus» = получается одно и то же|Дело сводится к компромиссу.

=schreiben|писать
schreiben|писать; писаться (о правописании)|«wie schreibt man das?» = как это пишется?|Она пишет роман.
beschreiben|описывать|«schwer zu beschreiben» — обиходное слово|Можешь его описать?
verschreiben|выписывать (лекарство); описаться (sich verschreiben)|«der Arzt hat mir etwas verschrieben» = врач мне кое-что выписал|Врач выписывает антибиотик.
unterschreiben|подписывать|«hier unterschreiben, bitte» — бланки и договоры|Подпишите, пожалуйста, внизу.
aufschreiben|записывать|«schreib's dir auf!» = запиши|Я запишу номер.
abschreiben|списывать; списывать в убыток|«von jemandem abschreiben» — школьное списывание|Он списал у меня.
anschreiben|написать кому-л.; записать в долг|«anschreiben lassen» = взять под запись|Мы написали в фирму.
ausschreiben|объявлять (конкурс, вакансию); писать полностью|«eine Stelle ausschreiben» — подбор персонала|Вакансию скоро объявят.
einschreiben|записываться, зачисляться (sich einschreiben); отправлять заказным|«sich an der Uni einschreiben» = поступить в университет|Я записался на курс.
zuschreiben|приписывать (кому-л.)|«dem Zufall zuschreiben» = списать на случайность|Успех приписывают ему.
umschreiben|описывать иносказательно, перефразировать|отделяемое «umschreiben» — это переписать заново|Он осторожно описал проблему.
vorschreiben|предписывать; указывать кому-л.|«lass dir nichts vorschreiben» = не давай собой командовать|Так предписывает закон.

=lesen|читать
lesen|читать; собирать (виноград)|«ich lese gerade…» — дежурная тема для разговора|Он читает каждый вечер.
vorlesen|читать вслух кому-л.|глагол сказки на ночь|Я читаю детям.
durchlesen|прочитать целиком, вычитать|«lies es dir noch mal durch» = перечитай ещё раз|Прочитай договор целиком.
auslesen|дочитывать; отбирать|IT: «Daten auslesen» = считывать данные|Прибор считывает показания.
ablesen|снимать показания; читать по бумажке|«vom Blatt ablesen» = читать с листа|Показания снимают раз в год.
verlesen|зачитывать (список); ошибиться при чтении (sich verlesen)|«ich habe mich verlesen» = я не так прочитал|Имена зачитали вслух.
nachlesen|посмотреть, прочитать в источнике|«das kannst du nachlesen» = это можно посмотреть|Подробности есть в инструкции.
zusammenlesen|нахвататься (сведений отовсюду)|с лёгким пренебрежением: собрано где попало|Он это в интернете нахватал.

=machen|делать
machen|делать|универсальный глагол: «das macht nichts» = ничего страшного|Что ты сейчас делаешь?
aufmachen|открывать; открывать (заведение)|разговорный двойник «öffnen»: «mach mal auf!» = открывай|Открой, пожалуйста, окно.
zumachen|закрывать|разговорный двойник «schließen»|Бар закрывается в два.
ausmachen|выключать; договариваться; иметь значение|«macht es dir was aus?» = ты не против?|Выключи, пожалуйста, свет.
anmachen|включать; заправлять (салат); клеиться к кому-л.|«jemanden anmachen» = подкатывать или, наоборот, наезжать|Включи радио.
mitmachen|участвовать, присоединяться|разговорная пара к «teilnehmen»|Ты участвуешь в турнире?
weitermachen|продолжать|«mach weiter so!» = так держать|После перерыва продолжим.
nachmachen|копировать, подражать|«er macht alles nach» — про детей и конкурентов|Она передразнивает его голос.
abmachen|договариваться; отцеплять, снимать|«abgemacht!» = договорились!|Мы ни о чём не договаривались.
kaputtmachen|ломать, портить|разговорное: «mach es nicht kaputt!» = не сломай|Ты портишь всю игру.
klarmachen|разъяснять; готовить|«mach dir klar, dass…» = пойми, что…|Он объяснил мне, в чём дело.
saubermachen|убирать, наводить чистоту|бытовая замена «putzen»|В субботу мы убираемся.

=suchen|искать
suchen|искать|«gesucht» = разыскивается на плакате и «требуется» в вакансии|Я ищу ключ.
besuchen|навещать, посещать; ходить (в школу, на курс)|отсюда «Besuch» — в Германии визит это событие|Мы навестим её в выходные.
untersuchen|обследовать, расследовать|и врачи, и полиция одинаково «untersuchen»|Врач осматривает пациента.
versuchen|пытаться, пробовать; искушать|«versuch's mal!» = попробуй|Я попробую ещё раз позже.
aussuchen|выбирать|«such dir was aus» = выбирай|Она выбрала платье.
absuchen|обыскивать, прочёсывать|«den Boden absuchen» = прочесать землю|Мы обыскали лес.
aufsuchen|обращаться к, посещать (врача, место)|официальное: «einen Arzt aufsuchen» = обратиться к врачу|Обратитесь к специалисту.
durchsuchen|обыскивать, досматривать|полицейский регистр: «die Wohnung durchsuchen» = провести обыск|Полиция обыскала дом.
heraussuchen|подобрать, отыскать среди прочего|«ich suche dir die Unterlagen raus» = я тебе найду документы|Я поищу фотографии.

=holen|приносить
holen|приносить, доставать; подхватить (простуду)|«ich hol mir was zu trinken» — в речи звучит постоянно|Принеси мне, пожалуйста, стакан.
abholen|забирать, встречать (человека, посылку)|«ich hole dich um acht ab» — глагол встреч|Я заберу тебя с вокзала.
einholen|догонять; получать (разрешение, сведения)|«Erlaubnis einholen» — канцелярское|Нам нужно получить разрешение.
wiederholen|повторять|неотделяемая, ударение на «hol»: «können Sie das wiederholen?»|Повторите, пожалуйста.
nachholen|навёрстывать, добирать|«Schlaf nachholen» = отоспаться|Экзамен я пересдам в следующем году.
aufholen|нагонять, сокращать отставание|спорт и графики: «Zeit aufholen» = нагнать время|Мы отыграли два очка.
herausholen|выжимать, извлекать|«das Beste herausholen» = выжать максимум|Он многое выжимает из команды.
überholen|обгонять; проводить капремонт|«überholt» как прилагательное = устаревший|Машина нас обогнала.
zurückholen|возвращать, забирать назад|«jemanden zurückholen» — и про людей, и про файлы|Мы возвращаем производство назад.

=rufen|звать
rufen|звать, кричать|«um Hilfe rufen» — но не про телефон, там «anrufen»|Она громко звала на помощь.
anrufen|звонить по телефону|телефонный глагол: «ruf mich an!» = позвони мне|Я позвоню тебе позже.
ausrufen|провозглашать, объявлять; выкрикивать|«den Notstand ausrufen» — язык новостей|Забастовку объявили.
aufrufen|вызывать (по имени); открывать (страницу); призывать|IT: «eine Seite aufrufen» = открыть страницу|Вызывают следующего пациента.
zurückrufen|перезванивать; отзывать (товар)|«ich rufe zurück» — телефонный этикет|Перезвоните мне, пожалуйста.
hervorrufen|вызывать (реакцию)|«Nebenwirkungen hervorrufen» — медицина и официальный стиль|Речь вызвала критику.
berufen|назначать; ссылаться (sich berufen auf)|«sich auf jemanden berufen» = сослаться на кого-то как на авторитет|Его назначили в университет.
einberufen|созывать (собрание); призывать (в армию)|официальный регистр|Правление созвали.
abberufen|отзывать (с должности)|дипломатия и корпорации|Посла отозвали.

=schneiden|резать
schneiden|резать; монтировать (фильм); демонстративно не замечать|«jemanden schneiden» = игнорировать кого-то|Я режу хлеб.
abschneiden|отрезать; показать результат (хороший или плохой)|«gut abschneiden» = хорошо себя показать|Она хорошо выступила.
ausschneiden|вырезать|IT: «ausschneiden und einfügen» = вырезать и вставить|Я вырезаю статью.
zerschneiden|изрезать, разрезать на куски|подчёркнутое уничтожение|Он изрезал письмо.
aufschneiden|разрезать, вскрывать; хвастаться|«aufschneiden» ещё = набивать себе цену|Врач вскрывает рану.
einschneiden|врезаться; впиваться (о ремне)|«einschneidend» = радикальный, глубокий|Ремень впивается.
anschneiden|отрезать первый кусок; затрагивать (тему)|«ein Thema anschneiden» = поднять вопрос|Он затронул щекотливую тему.
durchschneiden|перерезать|«das Band durchschneiden» — торжественное перерезание ленты|Она перерезала верёвку.
zuschneiden|раскраивать, подгонять под задачу|«auf jemanden zugeschnitten» = сделано под кого-то|Предложение рассчитано на компании.

=springen|прыгать
springen|прыгать; трескаться (о стекле)|«der Funke springt über» = искра проскакивает|Он прыгает в воду.
abspringen|спрыгивать; соскакивать, отказываться|«der Kunde ist abgesprungen» = клиент сорвался|Два спонсора отказались.
einspringen|подменять, выручать|«kannst du einspringen?» = подменишь?|Я его подменяю.
überspringen|пропускать; перепрыгивать|«ein Kapitel überspringen» = пропустить главу|Главу мы пропустим.
aufspringen|вскакивать; распахиваться; запрыгивать (в тренд)|«auf den Zug aufspringen» = вскочить в уходящий поезд|Он вскочил со стула.
zurückspringen|отпрыгивать; возвращаться в исходное|«die Anzeige springt zurück» = показания сбрасываются|Значение возвращается к нулю.
herausspringen|перепадать, выгорать (разг.)|«was springt für mich dabei heraus?» = а мне с этого что?|Тебе с этого мало что перепадёт.
umspringen|резко меняться (о погоде, светофоре); обходиться с кем-л.|«so kannst du nicht mit mir umspringen» = так со мной нельзя|Светофор переключается на зелёный.

=steigen|подниматься
steigen|подниматься, взбираться; расти (о ценах)|«die Preise steigen» — глагол новостных заголовков|Температура растёт.
einsteigen|садиться (в транспорт); входить в сферу|«einsteigen, bitte!» — объявление на платформе|Садитесь в переднюю дверь.
aussteigen|выходить (из транспорта); бросить всё, выйти из игры|«aussteigen» = уйти из крысиных бегов|Я выхожу на следующей.
umsteigen|делать пересадку; переходить на другое|«auf Öko umsteigen» = перейти на экологичное|Нам нужно пересесть в Ганновере.
aufsteigen|подниматься; получать повышение|спортивные лиги и карьера|Клуб вышел в высший дивизион.
absteigen|спускаться; вылетать (из лиги); останавливаться (в отеле)|«im Hotel absteigen» = остановиться в отеле — слегка старомодно|Клуб вылетел из лиги.
besteigen|восходить (на гору); подниматься на борт|официальное, альпинистский регистр|Они взошли на вершину.
übersteigen|превышать|«die Kosten übersteigen das Budget» = расходы превышают бюджет|Это выше моего воображения.
zusteigen|подсаживаться в пути|«noch jemand zugestiegen?» — вопрос кондуктора|Кто-нибудь ещё подсел?
nachsteigen|бегать за кем-л., ухаживать настойчиво|«einem Mädchen nachsteigen» — слегка устаревшее, с усмешкой|Он бегает за ней уже несколько недель.

=stoßen|толкать
stoßen|толкать; наткнуться (auf +A)|«auf ein Problem stoßen» = наткнуться на проблему|Я наткнулся на ошибку.
anstoßen|подтолкнуть; чокаться; давать толчок|«anstoßen!» = чокнемся!|За тебя.
abstoßen|отталкивать; сбывать с рук|«das stößt mich ab» = меня это отталкивает|Его поведение меня отталкивает.
ausstoßen|выбрасывать (выхлоп); изгонять|«CO2 ausstoßen» — климатическая лексика|Завод выбрасывает вредные вещества.
zusammenstoßen|сталкиваться|«die Autos sind zusammengestoßen» = машины столкнулись|Поезда столкнулись.
verstoßen|нарушать (gegen +A); отвергать|юридическое: «gegen die Regeln verstoßen» = нарушать правила|Это нарушает закон.
umstoßen|опрокидывать; ломать (планы)|«alle Pläne umstoßen» = поломать все планы|Он опрокинул стакан.
vorstoßen|продвигаться, прорываться|«in neue Bereiche vorstoßen» = выходить на новые территории|Команда вышла в финал.

=stecken|совать, вставлять
stecken|совать, вставлять; торчать, застрять|«da steckt mehr dahinter» = за этим кроется большее|Ключ в замке.
anstecken|заражать; прикалывать; поджигать|«das steckt an» = это заразительно, в том числе про смех|Он меня заразил.
einstecken|класть в карман; втыкать в розетку; сносить (критику)|«einstecken können» = уметь держать удар|Воткни зарядку.
feststecken|застрять|«im Stau feststecken» = застрять в пробке|Машины застряли на дороге.
abstecken|размечать, очерчивать (границы)|«den Rahmen abstecken» — планёрки|Мы очерчиваем цели.
verstecken|прятать|«Versteck spielen» = играть в прятки|Он прячется за отговорками.
zustecken|незаметно сунуть кому-л.|«er hat mir zwanzig Euro zugesteckt» = он сунул мне двадцать евро|Бабушка суёт детям деньги.
wegstecken|убирать; легко переносить (неудачу)|«das steckt er locker weg» = он это переживёт не поморщившись|Поражение он перенёс спокойно.

=treffen|встречать, попадать
treffen|встречать; попадать (в цель); принимать (решение)|«eine Entscheidung treffen» = принять решение; «wir treffen uns um acht» = встречаемся в восемь|Мы встречаемся завтра.
antreffen|застать кого-л.|«ich habe ihn nicht angetroffen» — язык официальных визитов|Мы застали его дома.
eintreffen|прибывать; сбываться (о прогнозе)|официальное «прибыть»: «die Ware ist eingetroffen» = товар поступил|Гости приезжают в семь.
zutreffen|соответствовать действительности, относиться к кому-л.|бланки: «Zutreffendes bitte ankreuzen» = нужное отметить|Ко мне это не относится.
betreffen|касаться, затрагивать|«was das betrifft…» = что до этого…|Изменение затрагивает всех клиентов.
übertreffen|превосходить, превышать|«alle Erwartungen übertreffen» = превзойти все ожидания|Результат превосходит всё.
aufeinandertreffen|встречаться (о соперниках)|спортивные репортажи|Команды встречаются в финале.

=trennen|разделять
trennen|разделять; расставаться (sich trennen)|«wir haben uns getrennt» = мы расстались|Мы сортируем мусор.
auftrennen|распарывать (шов)|швейная лексика|Я распарываю шов.
abtrennen|отделять, отрезать, отгораживать|«den Abschnitt abtrennen» — на бланках|Отрежьте, пожалуйста, корешок.
zertrennen|распарывать, разбирать по швам|редкое, ремесленный регистр|Она распорола старое платье.

=wachsen|расти
wachsen|расти|«einer Aufgabe gewachsen sein» = быть на высоте задачи|Город быстро растёт.
aufwachsen|расти, вырастать (о детстве)|«ich bin auf dem Land aufgewachsen» = я вырос в деревне|Она выросла в Берлине.
anwachsen|нарастать, увеличиваться; приживаться|«die Zahl wächst an» — статистика|Долги растут.
verwachsen|срастаться; сродниться с чем-л.|«mit der Stadt verwachsen sein» = сродниться с городом|Шрам хорошо зажил.
zuwachsen|зарастать; затягиваться (о ране)|«der Weg ist zugewachsen» = тропинка заросла|Сад зарос.
herauswachsen|вырастать из (одежды, привычки)|«aus den Schuhen herauswachsen» = вырасти из ботинок|Он вырос из этой куртки.

=weisen|указывать
weisen|указывать, показывать дорогу|книжное; «in die Schranken weisen» = поставить на место|Он указал нам дорогу.
beweisen|доказывать|«das musst du erst mal beweisen» = это ещё доказать надо|Ты можешь это доказать?
verweisen|отсылать (auf +A); удалять, исключать|«auf die Website verweisen» — официальный стиль|Отсылаю к третьему пункту.
hinweisen|указывать, обращать внимание (auf +A)|«ich möchte darauf hinweisen, dass…» — официальное предупреждение|Он указал на риск.
zuweisen|назначать, выделять|«Aufgaben zuweisen» — управление проектами|Нам выделили место.
abweisen|отказывать, отклонять|«eine Klage abweisen» — суды|Заявление отклонили.
anweisen|поручать, инструктировать; перечислять (деньги)|«jemanden anweisen» — по вертикали власти|Головной офис велел нам ждать.
ausweisen|высылать из страны; предъявлять документы (sich ausweisen); показывать (цифры)|«können Sie sich ausweisen?» = документы предъявите|Ему пришлось предъявить документы.
nachweisen|доказывать, документально подтверждать|«Einkommen nachweisen» — бюрократия|Он ничего не смог доказать.
überweisen|переводить (деньги); направлять (пациента)|банковский глагол: «Geld überweisen» = перевести деньги|Я переведу тебе деньги завтра.

=wenden|поворачивать
wenden|переворачивать, разворачивать; обращаться к кому-л. (sich wenden an)|«bitte wenden» = смотри на обороте|Переверни жаркое.
verwenden|использовать, применять|чуть официальнее, чем «benutzen»|Используйте свежие продукты.
anwenden|применять (правило, метод)|«die Regel anwenden» — инструкции и право|Здесь мы применяем это правило.
abwenden|предотвращать (беду); отворачивать|«das Schlimmste abwenden» = предотвратить худшее|Ущерб удалось предотвратить.
zuwenden|поворачивать к; обращаться к чему-л. (sich zuwenden)|«sich neuen Aufgaben zuwenden» = взяться за новые задачи|Он повернулся к камере.
aufwenden|затрачивать (время, деньги)|«viel Zeit aufwenden» — проектные отчёты|Это требует больших денег.
einwenden|возражать|«dagegen ist nichts einzuwenden» = возражений нет|Он возразил, что это слишком дорого.
umwenden|переворачивать, разворачивать|только физически|Она перевернула страницу.

=drücken|давить, жать
drücken|нажимать, давить; обнимать; жать (об обуви)|«wo drückt der Schuh?» = что тебя гложет?|Нажми красную кнопку.
ausdrücken|выражать; тушить (сигарету)|«wie soll ich es ausdrücken?» = как бы это сказать?|Он хорошо выражает свои мысли.
unterdrücken|подавлять, угнетать|«ein Lachen unterdrücken» = подавить смех|Она подавила зевок.
bedrücken|угнетать, тяготить|«was bedrückt dich?» = что тебя гнетёт?|Ситуация меня угнетает.
eindrücken|вдавливать, продавливать|«die Tür eindrücken» = выдавить дверь|Вмятину выправили.
wegdrücken|отталкивать; сбрасывать (звонок)|«den Anruf wegdrücken» — современное употребление|Он меня оттолкнул.
zudrücken|прижимать, закрывать|«ein Auge zudrücken» = закрыть глаза на что-то|Так и быть, закрою на это глаза.
abdrücken|нажимать на спуск; сдавливать|«jemandem die Luft abdrücken» = перекрыть кому-то воздух|Он нажал на спуск.

=decken|покрывать
decken|покрывать; накрывать (на стол); покрывать (спрос)|«den Tisch decken» — домашняя обязанность|Цена покрывает расходы.
entdecken|обнаруживать, открывать|«ich habe ein Café entdeckt» — бытовое|Кто открыл Америку?
aufdecken|раскрывать, вскрывать (скандал)|расследовательская журналистика|Мошенничество вскрыли.
abdecken|покрывать, охватывать (спектр); прикрывать|«das deckt alles ab» — деловая речь|Курс охватывает все темы.
zudecken|укрывать, укутывать|«das Kind zudecken» — перед сном|Я тебя укрою.
eindecken|запасаться (sich eindecken mit); заваливать кого-л.|«sich mit Vorräten eindecken» = запастись впрок|Мы запаслись водой.
überdecken|перебивать, заглушать (запах, звук)|«den Geruch überdecken» = перебить запах|Шум заглушает музыку.

=fassen|хватать, вмещать
fassen|схватить; вмещать; поймать (преступника)|«ich kann es nicht fassen» = не могу поверить|Зал вмещает 200 человек.
verfassen|составлять, писать (текст)|официальное: «einen Text verfassen» = составить текст|Она написала отчёт.
umfassen|охватывать, включать; обхватывать|«das Paket umfasst drei Kurse» = пакет включает три курса|Курс рассчитан на десять часов.
erfassen|осознавать, схватывать; фиксировать (данные)|«Daten erfassen» — канцелярская работа|Цифры фиксируются в электронном виде.
